year,game,week,home,team,score
2015,0,1,FALSE,4,111
2015,0,1,TRUE,7,99
2015,1,1,FALSE,8,107
2015,1,1,TRUE,5,74
2015,2,1,FALSE,1,100
2015,2,1,TRUE,2,117
2015,3,1,FALSE,3,74
2015,3,1,TRUE,6,111
2015,4,2,FALSE,8,94
2015,4,2,TRUE,4,67
2015,5,2,FALSE,7,65
2015,5,2,TRUE,1,61
2015,6,2,FALSE,5,86
2015,6,2,TRUE,3,82
2015,7,2,FALSE,2,102
2015,7,2,TRUE,6,85
2015,8,3,FALSE,4,139
2015,8,3,TRUE,1,87
2015,9,3,FALSE,3,121
2015,9,3,TRUE,8,93
2015,10,3,FALSE,6,148
2015,10,3,TRUE,7,71
2015,11,3,FALSE,2,77
2015,11,3,TRUE,5,97
2015,12,4,FALSE,3,84
2015,12,4,TRUE,4,72
2015,13,4,FALSE,1,69
2015,13,4,TRUE,6,94
2015,14,4,FALSE,8,69
2015,14,4,TRUE,2,68
2015,15,4,FALSE,7,103
2015,15,4,TRUE,5,79
2015,16,5,FALSE,4,113
2015,16,5,TRUE,6,106
2015,17,5,FALSE,2,75
2015,17,5,TRUE,3,69
2015,18,5,FALSE,5,97
2015,18,5,TRUE,1,67
2015,19,5,FALSE,7,104
2015,19,5,TRUE,8,112
2015,20,6,FALSE,2,104
2015,20,6,TRUE,4,87
2015,21,6,FALSE,6,113
2015,21,6,TRUE,5,107
2015,22,6,FALSE,3,129
2015,22,6,TRUE,7,82
2015,23,6,FALSE,1,51
2015,23,6,TRUE,8,83
2015,24,7,FALSE,4,119
2015,24,7,TRUE,5,91
2015,25,7,FALSE,7,106
2015,25,7,TRUE,2,123
2015,26,7,FALSE,8,69
2015,26,7,TRUE,6,117
2015,27,7,FALSE,1,90
2015,27,7,TRUE,3,97
2015,28,8,FALSE,7,76
2015,28,8,TRUE,4,126
2015,29,8,FALSE,5,113
2015,29,8,TRUE,8,89
2015,30,8,FALSE,2,82
2015,30,8,TRUE,1,60
2015,31,8,FALSE,6,72
2015,31,8,TRUE,3,91
2015,32,9,FALSE,4,104
2015,32,9,TRUE,8,94
2015,33,9,FALSE,1,90
2015,33,9,TRUE,7,73
2015,34,9,FALSE,3,77
2015,34,9,TRUE,5,126
2015,35,9,FALSE,6,137
2015,35,9,TRUE,2,110
2015,36,10,FALSE,1,67
2015,36,10,TRUE,4,109
2015,37,10,FALSE,8,97
2015,37,10,TRUE,3,88
2015,38,10,FALSE,7,64
2015,38,10,TRUE,6,106
2015,39,10,FALSE,5,82
2015,39,10,TRUE,2,72
2015,40,11,FALSE,4,69
2015,40,11,TRUE,3,60
2015,41,11,FALSE,6,91
2015,41,11,TRUE,1,61
2015,42,11,FALSE,2,54
2015,42,11,TRUE,8,73
2015,43,11,FALSE,5,98
2015,43,11,TRUE,7,98
2015,44,12,FALSE,6,116
2015,44,12,TRUE,4,83
2015,45,12,FALSE,3,92
2015,45,12,TRUE,2,71
2015,46,12,FALSE,1,107
2015,46,12,TRUE,5,68
2015,47,12,FALSE,8,93
2015,47,12,TRUE,7,108
2015,48,13,FALSE,4,96
2015,48,13,TRUE,2,137
2015,49,13,FALSE,5,92
2015,49,13,TRUE,6,100
2015,50,13,FALSE,7,128
2015,50,13,TRUE,3,118
2015,51,13,FALSE,8,59
2015,51,13,TRUE,1,89
2015,52,14,FALSE,8,226
2015,52,14,TRUE,6,146
2015,53,14,FALSE,2,157
2015,53,14,TRUE,4,209
2015,54,14,FALSE,3,248
2015,54,14,TRUE,5,221
2015,55,14,FALSE,1,205
2015,55,14,TRUE,7,107
2015,56,15,FALSE,8,197
2015,56,15,TRUE,4,154
2015,57,15,FALSE,2,208
2015,57,15,TRUE,6,189
2015,58,15,FALSE,1,228
2015,58,15,TRUE,3,184
2015,59,15,FALSE,7,163
2015,59,15,TRUE,5,170
